dof_index, displacement_x, displacement_y
0,1.14383e-34,1.04815e-16
1,-9.9352e-36,5.01874e-17
2,9.25698e-35,0.000533825
3,-1.31555e-35,0.00026171
4,9.87317e-34,0.108172
5,-2.06053e-34,0.293496
6,1.32779e-33,0.00613413
7,-1.52674e-34,0.193483
8,9.47877e-40,8.29501e-06
9,1.16677e-40,-5.16576e-07
10,1.30784e-38,-1.08123
11,2.18465e-39,-1.84832
12,1.01292e-38,-2.00668
13,1.48794e-39,-1.99992
14,9.8592e-35,0.594517
15,-5.22868e-36,1.07375
16,1.43032e-33,0.500678
17,1.27626e-35,0.813096
18,1.02873e-34,1.9713e-11
19,5.7745e-37,1.08007e-11
20,1.45797e-33,2.51064e-07
21,1.27546e-34,-1.84443e-08
22,5.89809e-35,5.05359e-12
23,-1.26089e-35,2.0132e-12
24,9.16286e-36,2.70893e-11
25,-1.36206e-36,1.14323e-11
26,9.8309e-35,5.27839e-12
27,9.75818e-36,2.0117e-12
28,1.15919e-40,3.68152e-07
29,-1.90156e-43,-5.94739e-08
30,1.40566e-39,1.44387e-06
31,1.26961e-40,-2.22729e-07
32,1.23231e-40,4.76887e-15
33,-2.05993e-41,-2.48896e-16
34,1.12457e-33,8.59065e-16
35,1.33839e-35,-9.78202e-17
36,7.12719e-35,1.63806
37,6.94138e-36,1.22395
38,9.24851e-34,2.06213
39,1.7606e-34,1.61908
40,7.97929e-35,-1.01683
41,-2.79244e-36,-0.896475
42,1.0511e-33,0.0607343
43,-1.79087e-34,0.328238
44,8.10438e-35,1.31665
45,-7.73793e-36,0.0309985
46,1.23983e-33,1.08087e-13
47,-1.03984e-34,4.44907e-14
48,8.50937e-35,0.920207
49,3.158e-37,-0.165994
50,1.19796e-33,2.03255
51,8.92139e-35,-0.194085
52,8.43253e-35,3.23541
53,4.97728e-36,0.320721
54,1.05628e-33,6.25213e-13
55,6.29732e-35,2.52384e-13
56,7.71098e-35,1.05785e-13
57,2.15812e-36,3.03343e-14
58,1.05552e-33,2.15712e-13
59,9.54682e-35,8.62432e-14
60,6.79564e-35,1.01618e-19
61,1.02333e-35,3.5884e-20
62,7.19708e-34,1.23343e-20
63,7.66077e-35,4.75179e-21
64,4.84544e-35,8.70802e-19
65,5.71659e-36,2.47745e-19
66,6.04653e-34,1.43682e-19
67,1.34516e-34,4.53703e-20
68,3.99055e-35,4.90223e-10
69,8.05037e-36,4.70741e-11
70,3.7604e-34,3.66345e-09
71,5.57948e-35,1.06214e-10
72,2.42261e-35,3.90871e-09
73,4.64409e-36,2.41041e-10
74,2.59253e-34,8.39317e-19
75,6.49791e-35,3.02943e-19
76,1.58683e-35,3.20135
77,4.19247e-36,0.935411
78,1.52909e-34,1.13699
79,6.72913e-35,0.24615
80,7.40384e-36,-1.17358
81,2.80217e-36,-0.629743
82,5.86832e-35,-1.09809
83,2.77223e-35,-0.521398
84,3.39226e-36,-0.79521
85,1.37033e-36,-0.800001
86,2.48781e-35,7.16996e-10
87,7.11487e-36,3.99446e-10
88,1.54935e-36,8.45927e-10
89,4.60416e-37,4.11768e-10
90,1.45697e-35,9.30878e-14
91,4.57386e-36,4.0106e-14
92,6.28737e-37,3.5085e-09
93,2.36686e-37,2.1091e-09
94,6.19383e-36,3.70126e-14
95,2.41295e-36,-5.11433e-15
96,3.29329e-37,3.08811e-13
97,1.11087e-37,-1.82854e-14
98,3.3823e-36,7.81493e-14
99,1.31653e-36,-6.4154e-18
100,1.42191e-37,4.37038e-13
101,5.25901e-38,3.44565e-15
102,1.65941e-36,2.06777e-12
103,7.78252e-37,-2.1336e-13
104,6.42027e-38,0.22814
105,3.11774e-38,-0.115066
106,5.97316e-37,1.00876e-14
107,2.10163e-37,-2.61208e-16
108,2.34769e-38,3.66306e-19
109,1.02806e-38,1.54202e-19
110,2.95898e-37,3.64234e-20
111,1.3038e-37,1.89798e-20
112,9.95738e-39,4.29584e-20
113,5.9545e-39,1.383e-20
114,8.45755e-38,7.42559e-11
115,4.58084e-38,3.08727e-11
116,3.44235e-39,7.13841e-11
117,1.6486e-39,4.52847e-11
118,4.03241e-38,5.50304e-10
119,2.32281e-38,2.74287e-10
120,1.34397e-39,3.58671e-19
121,8.81334e-40,1.06875e-19
122,7.55838e-39,4.97467e-10
123,3.57876e-39,2.29389e-10
124,2.87504e-40,3.82115e-09
125,1.55197e-40,-6.18472e-11
126,3.15757e-39,2.0752e-08
127,1.22568e-39,-1.43414e-09
128,1.17111e-40,-1.82393
129,5.49275e-41,-2.13311
130,1.43946e-39,-1.52335
131,6.67359e-40,-1.09425
132,5.97738e-41,-1.79189
133,3.33169e-41,-1.73603
134,4.75813e-40,-1.61891
135,2.68148e-40,-1.98723
136,2.73493e-41,-1.04059
137,5.59717e-42,-0.64236
138,2.35751e-40,-2.21263
139,-4.90648e-41,0.717249
140,7.197e-41,5.13071e-24
141,-6.18189e-41,1.817e-24
142,1.06964e-39,8.45574e-12
143,-8.40821e-40,2.85564e-12
144,6.45829e-40,8.13082e-25
145,-1.05443e-39,1.09366e-25
146,1.05593e-38,-0.116457
147,-7.60383e-39,-0.772941
148,1.66674e-38,0.611894
149,5.32791e-39,-0.0564507
150,8.49929e-39,-1.95256
151,2.81164e-39,-1.05712
152,3.77203e-41,0.926073
153,-4.0504e-41,0.972776
154,8.71074e-40,2.62596
155,2.24579e-40,2.58338
156,6.85907e-37,-0.719852
157,1.04068e-37,-0.660765
158,1.15134e-36,-1.49369
159,3.0887e-37,-1.35379
160,1.13046e-37,-2.14741
161,1.99464e-38,-1.81336
162,4.26681e-42,-1.09592
163,-2.26733e-42,-1.62302
164,3.23368e-42,2.41488e-25
