dof_index, displacement_x, displacement_y
0,3.97461e-36,8.99054e-18
1,-3.47236e-37,4.38524e-18
2,3.20789e-36,0.000142085
3,-4.63187e-37,6.87509e-05
4,3.583e-35,1.58537
5,-7.6547e-36,-0.393413
6,4.84398e-35,1.84345
7,-5.67174e-36,-0.933081
8,2.13892e-41,1.74158e-06
9,2.73973e-42,-1.01513e-07
10,3.08761e-40,0.558252
11,5.30239e-41,0.615343
12,2.41697e-40,-0.24771
13,3.79075e-41,-0.0272759
14,3.39784e-36,0.750612
15,-1.68313e-37,1.95866
16,5.17112e-35,0.196896
17,7.47982e-37,1.50688
18,3.55009e-36,2.51542e-12
19,1.89015e-38,1.37476e-12
20,5.29168e-35,4.52398e-08
21,4.66244e-36,-3.17563e-09
22,2.01652e-36,5.95467e-13
23,-4.4283e-37,2.38837e-13
24,3.02813e-37,3.37553e-12
25,-4.56197e-38,1.45312e-12
26,3.38615e-36,6.23148e-13
27,3.43946e-37,2.40251e-13
28,2.68157e-42,6.72512e-08
29,6.54723e-45,-1.07039e-08
30,3.41206e-41,2.81175e-07
31,3.50161e-42,-4.30722e-08
32,2.85179e-42,4.59e-16
33,-4.59525e-43,-2.42131e-17
34,4.04824e-35,7.82421e-17
35,4.26486e-37,-9.42532e-18
36,2.42627e-36,-0.629885
37,2.44118e-37,-0.490524
38,3.3043e-35,-0.0504224
39,6.58277e-36,0.0745033
40,2.74446e-36,-1.85414
41,-1.07821e-37,-1.51428
42,3.80604e-35,1.18545
43,-6.87352e-36,-0.809687
44,2.80642e-36,-0.613062
45,-2.86353e-37,-1.12289
46,4.54584e-35,1.13127e-14
47,-4.04881e-36,4.68214e-15
48,2.96851e-36,3.39438
49,3.96718e-39,0.471119
50,4.40887e-35,3.35839
51,3.24137e-36,0.231059
52,2.95377e-36,2.74399
53,1.71867e-37,0.491866
54,3.89013e-35,6.92258e-14
55,2.24885e-36,2.79965e-14
56,2.70738e-36,1.10729e-14
57,6.78207e-38,3.11326e-15
58,3.91514e-35,2.29424e-14
59,3.55328e-36,9.23657e-15
60,2.39163e-36,7.26663e-21
61,3.65701e-37,2.54253e-21
62,2.64228e-35,8.36202e-22
63,2.77628e-36,3.20243e-22
64,1.69453e-36,6.57451e-20
65,1.95541e-37,1.82968e-20
66,2.23313e-35,1.02672e-20
67,4.98383e-36,3.20844e-21
68,1.40127e-36,6.76212e-11
69,2.83385e-37,6.65415e-12
70,1.38069e-35,5.4266e-10
71,2.01976e-36,1.5259e-11
72,8.44936e-37,5.87831e-10
73,1.6165e-37,3.7657e-11
74,9.49821e-36,6.27337e-20
75,2.40193e-36,2.27096e-20
76,5.51898e-37,3.73589
77,1.46975e-37,1.23017
78,5.56064e-36,3.879
79,2.49321e-36,1.31436
80,2.55106e-37,0.0692867
81,9.79472e-38,-0.662522
82,2.06707e-36,0.915362
83,9.95351e-37,-0.947969
84,1.13227e-37,2.21656
85,4.65864e-38,-0.606361
86,8.5004e-37,1.01814e-10
87,2.44963e-37,5.68298e-11
88,5.02791e-38,1.21745e-10
89,1.50695e-38,5.78906e-11
90,4.93681e-37,9.79733e-15
91,1.56241e-37,4.15677e-15
92,2.01766e-38,5.29469e-10
93,7.66262e-39,3.1907e-10
94,2.06598e-37,3.67501e-15
95,8.15245e-38,-4.86073e-16
96,1.04439e-38,3.36568e-14
97,3.53946e-39,-1.96691e-15
98,1.12013e-37,8.07286e-15
99,4.40095e-38,1.36153e-17
100,4.45793e-39,4.76787e-14
101,1.66621e-39,4.81622e-16
102,5.4147e-38,2.38649e-13
103,2.57716e-38,-2.58484e-14
104,1.97808e-39,-0.404291
105,9.78135e-40,-0.0274029
106,1.88323e-38,9.84517e-16
107,6.68403e-39,-2.39653e-17
108,7.0096e-40,2.70683e-20
109,3.10221e-40,1.14812e-20
110,9.2136e-39,2.53819e-21
111,4.09632e-39,1.34189e-21
112,2.93283e-40,3.00395e-21
113,1.77232e-40,9.64381e-22
114,2.56446e-39,9.78369e-12
115,1.41135e-39,3.99561e-12
116,9.93443e-41,9.34967e-12
117,4.7677e-41,6.02305e-12
118,1.21156e-39,7.78188e-11
119,7.02984e-40,3.87126e-11
120,3.81369e-41,2.6491e-20
121,2.53277e-41,7.82182e-21
122,2.1428e-40,6.93975e-11
123,1.02394e-40,3.19386e-11
124,7.72816e-42,5.77066e-10
125,4.22423e-42,-8.24672e-12
126,8.82247e-41,3.3497e-09
127,3.44658e-41,-2.32422e-10
128,3.10088e-42,-1.1635
129,1.46413e-42,-1.43683
130,3.97184e-41,-0.0686939
131,1.85915e-41,0.0802213
132,1.56113e-42,-0.630835
133,8.81665e-43,-0.514535
134,1.27899e-41,-1.34738
135,7.36774e-42,-1.65432
136,6.79271e-43,-0.0848035
137,1.64499e-43,0.0693922
138,5.84165e-42,-1.02196
139,-1.02764e-42,3.15307
140,1.6828e-42,2.90507e-25
141,-1.43223e-42,1.03236e-25
142,2.62306e-41,1.03886e-12
143,-2.0481e-41,3.4251e-13
144,1.55914e-41,4.4399e-26
145,-2.5777e-41,5.51482e-27
146,2.69254e-40,3.44355
147,-1.93974e-40,-0.526148
148,5.01681e-40,3.14443
149,1.60863e-40,0.0880432
150,2.53292e-40,0.108452
151,8.44752e-41,-0.0165934
152,8.67577e-43,2.42016
153,-9.39481e-43,2.01785
154,2.48954e-41,1.16632
155,6.45027e-42,1.44791
156,2.25667e-38,2.34569
157,3.39229e-39,0.92816
158,3.8143e-38,-0.287567
159,1.02766e-38,-1.35506
160,3.57588e-39,-0.286832
161,6.30504e-40,-2.13543
162,9.64357e-44,-0.229535
163,-4.88104e-44,1.33082
164,7.93148e-44,1.31307e-26
165,2.82217e-44,8.49764e-28
166,1.90698e-44,1.48899e-26
167,8.5404e-45,-4.27089e-28
168,7.11673e-45,9.95516e-26
169,2.71998e-45,1.60889e-26
170,1.68314e-43,3.34961
171,7.00185e-44,-1.63956
172,9.92157e-44,3.67316
173,4.75442e-44,-0.760486
174,4.35583e-43,2.10872
175,1.94659e-43,0.363552
176,5.83463e-38,3.46947e-23
177,1.20334e-38,1.40906e-23
178,5.16386e-39,4.47564e-23
179,9.7865e-40,1.92505e-23
180,2.63715e-43,2.74176
181,1.04005e-43,0.254284
182,2.20217e-42,2.89076e-22
183,1.03775e-42,9.35264e-23
184,9.75489e-38,1.71563e-29
185,2.01749e-38,6.73609e-30
186,8.66569e-39,4.24814e-29
187,1.67453e-39,1.58258e-29
188,8.18464e-43,3.65076e-30
189,3.35173e-43,1.09681e-30
190,5.50376e-42,5.39224e-13
191,2.31199e-42,2.30794e-13
192,1.94867e-42,2.41484e-12
193,7.07273e-43,1.03901e-12
194,1.74061e-41,4.08193e-13
195,7.0955e-42,1.90583e-13
196,1.24639e-38,1.04422e-13
197,6.07683e-39,-3.82586e-15
198,1.67998e-39,0.186742
199,5.35683e-40,0.292938
200,5.59141e-42,-1.79172
201,2.19727e-42,0.970712
202,3.94535e-41,1.54811e-08
203,1.55355e-41,-3.06161e-09
204,1.22263e-37,1.64254e-08
205,1.44066e-38,-7.23025e-09
206,1.12395e-38,4.30755e-26
207,1.32443e-39,1.34784e-26
208,1.26291e-41,4.74335e-07
209,4.18775e-42,2.77022e-07
210,1.16046e-40,1.16493e-25
211,4.48108e-41,2.79513e-26
212,1.72135e-37,5.18384e-25
213,2.53055e-38,1.40126e-25
214,1.60388e-38,1.75484
215,2.15494e-39,1.93987
216,5.30662e-41,1.31481
217,1.25911e-41,1.94988
218,1.96124e-37,1.83332
219,1.30308e-38,2.0136
220,1.86643e-38,1.91304
221,1.29112e-39,1.33324
222,5.72129e-41,-0.139496
223,7.7953e-42,0.10979
224,8.49141e-40,-0.0161327
225,3.29857e-41,0.207046
226,1.24264e-39,-1.14222
227,5.47188e-40,-1.0198
228,4.14592e-39,0.0236998
229,1.62159e-39,-0.387043
230,7.09426e-39,-2.84169
231,3.0397e-39,1.33548
232,2.26965e-37,3.3028e-24
233,9.25247e-39,4.94625e-25
234,2.17713e-38,7.73672e-25
235,1.2036e-39,1.21783e-25
236,2.27498e-37,6.01362e-24
237,1.48168e-39,9.4738e-25
238,2.26798e-38,-0.685213
239,1.30678e-40,-0.107958
240,2.16163e-37,-0.205943
241,-8.37046e-39,1.61186
242,2.17873e-38,-1.73886
243,-4.90393e-40,-4.75792
244,8.03463e-40,-1.18385
245,3.01917e-40,-3.9161
246,4.99086e-40,-0.257918
247,2.01528e-40,1.0306
248,2.19241e-37,-1.99927
249,-6.25856e-39,-0.140628
250,2.18989e-38,0.103984
251,-1.84974e-40,-0.0517921
252,2.67364e-37,-1.37867
253,-2.40441e-38,0.0427623
254,9.4956e-38,1.06362e-14
255,-1.00725e-38,3.69826e-15
256,3.19635e-38,3.30086e-15
257,-5.09132e-39,1.0958e-15
258,5.13312e-39,8.23995e-14
259,-6.35179e-40,2.93792e-14
260,6.15557e-37,2.18744e-14
261,-5.23797e-38,7.32431e-15
262,2.64577e-37,1.07576e-13
263,-1.16125e-38,2.94613e-14
264,2.43125e-38,-0.232726
265,-1.73588e-39,0.604683
266,2.54416e-38,0.387397
267,-2.07268e-40,1.1573
268,2.61293e-37,0.473128
269,6.99939e-39,1.19569
270,2.45716e-38,4.66671
271,1.17328e-39,-0.479583
272,2.05087e-37,1.28451
273,-4.27654e-39,1.36525
274,2.09492e-38,-2.78783
275,-4.96973e-40,0.349302
276,2.36643e-37,0.866793
277,3.04065e-38,1.0167
278,2.34909e-38,5.03797e-08
279,1.45542e-39,1.61951e-09
280,2.67545e-38,1.65051e-07
281,-1.20498e-39,3.30868e-09
282,2.79561e-39,2.52599e-07
283,8.21574e-41,-5.56452e-09
284,2.63262e-39,3.07723e-08
285,8.74681e-41,-1.18777e-10
286,5.28431e-45,1.70167e-07
287,-4.71873e-46,1.06367e-07
288,2.38745e-44,1.55916e-07
289,-2.04296e-44,1.00852e-07
290,9.88473e-40,2.4532e-11
291,-5.51394e-40,1.47002e-11
292,3.1592e-41,7.17987e-12
293,-1.62734e-41,3.07488e-12
294,1.22368e-42,1.73669
295,-4.02425e-43,0.66466
296,1.46464e-43,1.09748e-07
297,-2.79924e-44,5.80754e-08
298,1.95178e-40,1.27272e-07
299,2.29607e-41,4.73951e-08
300,3.45401e-39,1.86491e-08
301,6.33861e-40,8.78549e-09
302,1.37169e-41,2.61367e-08
303,1.83484e-42,1.57332e-08
304,1.26703e-40,4.06758e-08
305,1.09701e-42,1.5932e-08
306,3.23787e-39,1.07649
307,1.72103e-40,-2.2683
308,6.51728e-38,3.66323
309,6.49142e-39,-0.559106
310,1.23583e-37,-5.00994
311,-1.40543e-38,0.558285
312,4.71496e-39,1.37535e-12
313,-5.99001e-40,8.39607e-13
314,2.6391e-39,2.60538e-13
315,-3.19567e-40,1.54219e-13
316,7.98796e-38,7.43921e-13
317,-3.01509e-38,4.57666e-13
318,1.71417e-40,5.13366e-14
319,-6.14278e-41,3.28326e-14
320,2.77846e-39,1.43482e-13
321,-4.9845e-40,7.65349e-14
322,7.61971e-42,4.73405e-28
323,-4.04352e-43,9.33193e-29
324,2.36432e-36,4.56318e-27
325,4.28929e-38,7.99034e-28
326,2.3879e-35,3.36708e-26
327,5.72174e-37,7.58559e-27
328,1.33087e-36,-1.69387
329,-4.75741e-37,-1.48938
330,1.19303e-42,-1.34834
331,1.38242e-43,-1.08295
332,9.16729e-44,-1.32444
333,-2.09108e-44,-0.982181
334,3.72162e-42,1.29247e-06
335,5.37424e-43,9.77028e-08
336,1.05165e-40,-0.687196
337,2.71787e-41,0.606429
338,4.26501e-43,-1.35436
339,4.55199e-44,-0.140717
340,9.25891e-42,3.74018e-08
341,3.94083e-43,1.47623e-08
342,7.76363e-42,2.18592e-07
343,4.37643e-43,8.60018e-08
344,3.96148e-43,2.44007e-07
345,-1.0293e-44,7.7253e-08
346,3.46126e-44,1.05336e-06
347,9.72798e-48,4.77861e-07
348,1.47267e-38,-1.23521
349,-2.03743e-39,-2.13427
350,9.33654e-40,-1.74326
351,-1.94374e-41,1.62132
352,4.7599e-39,1.1404
353,3.20289e-40,-0.919162
354,3.47403e-39,1.08882
355,5.67971e-40,0.528276
356,3.72127e-35,5.6672
357,-7.53785e-36,0.692277
358,4.52899e-34,0.235315
359,-6.94242e-35,-2.07789
360,6.67559e-40,-1.43686
361,-1.04609e-40,-1.26498
362,6.79371e-38,-0.687953
363,-4.31675e-39,-1.63369
364,2.82824e-43,1.00615e-08
365,-6.4077e-44,2.13585e-09
366,2.07019e-44,1.79807e-09
367,-6.05498e-45,3.55076e-10
368,3.43637e-35,2.16229e-09
369,6.80605e-37,5.04478e-10
370,4.31738e-35,1.07149e-08
371,-2.30347e-35,2.92236e-09
372,7.25227e-44,2.56454e-10
373,1.36987e-45,6.63975e-11
374,2.73595e-43,1.78835e-09
375,1.84539e-43,3.74638e-10
376,4.29075e-38,2.52629e-10
377,-1.43171e-38,2.40831e-11
378,4.8972e-39,3.58148
379,-3.14148e-39,1.65962
380,6.97472e-39,2.95088
381,-3.56219e-39,1.14301
382,4.77235e-40,3.10618
383,-1.8974e-40,1.12869
384,5.08011e-40,0.301915
385,1.19537e-41,0.2928
386,5.6592e-40,3.05887e-21
387,1.42383e-41,7.6155e-22
388,2.48536e-39,2.30585e-20
389,-3.90995e-41,4.92815e-21
390,5.30793e-40,6.71015e-20
391,-4.11015e-40,2.28903e-20
392,1.45953e-45,1.51896
393,-6.36763e-46,1.25068
394,9.97207e-41,3.01366e-10
395,-3.45653e-41,9.05199e-11
396,6.28629e-46,2.14319e-20
397,1.13037e-46,8.84348e-21
398,8.04466e-41,5.12784
399,2.31956e-41,-0.796214
400,1.36564e-45,5.53217
401,6.42547e-46,1.86616
402,3.80663e-40,2.30674
403,1.43919e-40,-1.17899
404,6.16852e-45,-0.59171
405,3.48534e-45,-4.4229
406,1.11631e-39,2.76046e-19
407,3.97625e-40,-8.62259e-21
408,1.73411e-44,2.98004e-18
409,8.24178e-45,3.75451e-20
410,2.36365e-39,1.66647e-18
411,7.79074e-40,1.08835e-19
412,5.37481e-44,2.68906e-19
413,2.60022e-44,1.23045e-20
414,5.38064e-39,2.7418e-17
415,2.66856e-39,2.49952e-18
416,1.34071e-43,8.848e-18
417,5.75982e-44,-2.13906e-19
418,3.17194e-38,1.01094e-16
419,2.34525e-38,3.45651e-18
420,3.79753e-43,-1.1651
421,1.74356e-43,-0.704
422,8.14806e-38,0.917107
423,1.66633e-38,0.536007
424,8.88863e-43,1.1404
425,3.54011e-43,1.04831
426,2.45023e-37,-1.3984
427,9.32523e-38,3.43238
428,1.8307e-42,-2.3572
429,6.37579e-43,1.48713
430,4.38007e-37,-0.521403
431,1.78506e-37,0.314788
432,3.47683e-42,-0.91494
433,1.13768e-42,-4.2016
434,1.3633e-36,0.977329
435,7.24809e-37,-3.06573
436,6.09338e-42,4.02151e-28
437,1.05314e-42,1.49144e-28
438,2.68371e-36,4.50324e-06
439,1.14313e-36,2.01284e-06
440,5.40675e-40,4.93905e-06
441,8.0761e-42,1.70188e-06
442,5.5445e-36,1.94161e-05
443,6.91058e-37,7.89219e-06
444,2.88866e-39,1.3705e-05
445,4.7439e-41,6.21235e-06
446,1.11659e-35,-2.07093
447,3.06363e-36,-0.632371
448,5.93609e-40,-1.78151
449,9.6778e-42,-0.481403
450,1.74692e-35,-1.86541
451,5.14322e-36,-0.513498
452,2.55937e-39,-1.79194
453,-1.33221e-41,-0.440242
454,5.13158e-35,3.97207e-29
455,2.02171e-35,1.11731e-29
456,5.32175e-40,3.55589e-30
457,-5.91066e-42,8.43686e-31
458,1.37941e-34,2.85414e-07
459,5.06913e-35,6.39401e-08
460,2.79054e-39,5.29586e-08
461,-8.60709e-41,1.08104e-08
462,2.06518e-34,6.65593e-08
463,2.67688e-35,1.82491e-08
464,6.00363e-40,-2.52505
465,-4.21475e-42,-0.902013
466,2.66824e-34,-1.62087
467,1.53238e-35,-0.90193
468,2.58766e-39,2.71684
469,-3.23978e-41,1.01323
470,4.5123e-34,9.30293e-09
471,9.50933e-35,1.35023e-09
472,5.45772e-40,1.42438e-20
473,-3.5944e-42,5.66795e-21
474,5.26552e-34,1.93134e-21
475,-3.87949e-35,5.36283e-22
476,2.64306e-39,1.14718e-20
477,-1.67145e-40,5.7475e-21
478,6.61428e-34,6.69306e-06
479,1.29261e-34,1.75975e-06
480,5.7533e-40,1.29773e-06
481,-2.36597e-41,3.15618e-07
482,6.81859e-34,1.71018e-06
483,2.99607e-35,4.48382e-07
484,2.57974e-39,0.000251344
485,5.15141e-41,0.000105986
486,8.24657e-34,0.000786344
487,-1.05544e-35,0.000327503
488,4.99408e-38,0.000865383
489,9.62068e-39,0.000314988
490,5.42797e-40,0.00264223
491,1.77149e-42,0.00114871
492,6.82759e-34,0.00221231
493,-1.02999e-34,0.00106823
494,2.36868e-39,0.65239
495,1.38322e-40,0.167812
496,4.17665e-34,1.23838
497,-4.48815e-36,0.352074
498,5.14701e-40,1.20113
499,1.85711e-41,0.350277
500,7.21441e-34,1.17597
501,5.97547e-35,0.324096
502,2.32661e-39,1.16464
503,-2.23677e-40,0.296551
504,7.09276e-34,1.00465e-17
505,-8.06329e-35,5.6128e-18
506,7.77945e-44,1.29534e-18
507,-1.47711e-44,6.89604e-19
508,5.16616e-40,0.000114423
509,-2.41509e-41,2.9838e-05
510,9.20214e-34,2.83955e-05
511,1.55653e-34,6.47206e-06
512,1.23215e-44,3.48519e-05
513,-2.04388e-45,9.88461e-06
514,2.01064e-39,5.49887e-06
515,1.4616e-40,9.96907e-07
516,8.81813e-34,0.0233062
517,-2.57924e-35,0.0106475
518,6.92796e-34,0.0535728
519,-1.70483e-34,0.0249711
520,2.45864e-39,0.0594936
521,8.26776e-40,0.0248498
522,4.06719e-38,1.45213e-16
523,3.32548e-39,5.97375e-17
524,1.19217e-35,0.128831
525,-5.36499e-37,0.061641
526,3.30774e-34,0.109571
527,-3.56579e-35,0.0568586
528,4.5369e-40,0.47932
529,2.9493e-41,0.132545
530,3.69161e-40,0.248534
531,3.39282e-41,0.0652934
532,1.6189e-39,0.268148
533,2.06435e-40,0.0795381
534,2.82516e-40,0.109893
535,3.64474e-41,0.0303188
536,1.14992e-39,0.10363
537,1.34882e-40,0.0242791
538,1.97807e-40,0.578913
539,2.75443e-41,0.385618
