dof_index, displacement_x, displacement_y
0,3.93684e-160,2.15482e-114
1,-4.31155e-161,1.04665e-114
2,3.36167e-160,1.81379e-72
3,-8.64101e-161,9.34685e-73
4,1.8052e-157,9.61847e-35
5,-7.49073e-158,4.26585e-36
6,3.15098e-157,3.94858e-35
7,-6.93103e-158,-6.70858e-36
8,9.66823e-187,2.10772e-80
9,6.68153e-187,9.46413e-82
10,9.49763e-184,2.17578e-29
11,1.14836e-183,5.05582e-29
12,2.38319e-183,1.25905e-28
13,1.27906e-183,3.32511e-28
14,2.80585e-160,5.02062e-32
15,3.08448e-161,1.26905e-31
16,2.22055e-157,2.38195e-31
17,6.01215e-158,6.40612e-31
18,2.06276e-160,1.81266e-97
19,5.4117e-161,2.6937e-99
20,1.482e-157,2.38047e-85
21,1.07641e-157,-4.02923e-87
22,9.98423e-161,1.45163e-100
23,-6.6811e-161,9.58389e-101
24,4.91093e-163,3.03895e-98
25,-1.27258e-163,3.6171e-98
26,1.41572e-160,1.67337e-100
27,7.59917e-161,1.07619e-100
28,3.15334e-185,5.68773e-85
29,2.23731e-186,1.74848e-87
30,3.4314e-182,8.40751e-83
31,9.10882e-183,-3.05448e-84
32,2.3568e-185,2.2823e-109
33,-8.49317e-186,4.33223e-112
34,1.49244e-159,8.15425e-112
35,1.74165e-160,-3.39448e-112
36,1.0554e-162,1.45762e-41
37,4.75157e-163,1.17868e-41
38,6.15562e-160,2.73777e-41
39,5.64366e-160,2.44929e-41
40,7.74608e-163,1.49173e-43
41,1.65921e-163,1.20061e-43
42,3.48526e-160,1.45712e-17
43,-1.78756e-160,3.62332e-18
44,4.00919e-163,7.57545e-19
45,-9.65232e-164,3.45206e-19
46,5.32522e-160,1.36897e-105
47,-8.83753e-161,9.4182e-106
48,4.90695e-163,1.30193e-38
49,-8.51041e-165,2.96753e-39
50,5.39479e-160,1.01553e-38
51,5.79206e-161,1.82247e-39
52,5.12644e-163,1.86284e-40
53,4.57753e-164,3.90026e-41
54,4.28569e-160,3.8019e-103
55,1.87279e-162,1.87479e-103
56,6.02184e-163,1.45513e-105
57,-1.25263e-163,5.16658e-107
58,7.84842e-160,4.56412e-105
59,-4.1937e-161,2.08467e-105
60,8.1164e-163,2.90556e-122
61,-5.81429e-165,-5.28462e-123
62,7.149e-160,6.52084e-125
63,-1.46314e-160,7.13711e-126
64,9.53943e-163,6.57275e-120
