dof_index, displacement_x, displacement_y
0,1.29723e-90,3.85235e-60
1,-9.30727e-92,2.02333e-60
2,9.36483e-91,2.38877e-33
3,-1.30883e-91,9.53095e-34
4,5.25829e-89,1.73795e-10
5,-1.16153e-89,-1.67157e-11
6,7.08901e-89,7.10036e-11
7,-9.44148e-90,-2.22215e-11
8,3.81594e-103,4.74775e-38
9,1.93269e-103,-8.17815e-40
10,2.11273e-101,1.10669e-07
11,1.51105e-101,1.99574e-07
12,3.57866e-101,2.30714e-07
13,1.64413e-101,4.02895e-07
14,7.37441e-91,6.40185e-09
15,1.02747e-91,1.34378e-08
16,4.84534e-89,9.28166e-09
17,1.52617e-89,1.92395e-08
18,6.7939e-91,1.96388e-49
19,5.61637e-92,6.82137e-50
20,4.67116e-89,2.69946e-41
21,9.30601e-90,-8.79243e-43
22,5.59874e-91,3.00233e-51
23,-1.34937e-91,1.58534e-51
24,1.93126e-92,8.68732e-50
25,-2.63449e-93,7.18384e-50
26,5.38641e-91,3.35716e-51
27,1.24094e-91,1.83326e-51
28,1.40485e-103,4.89555e-41
29,9.12393e-105,-5.47861e-42
30,9.20862e-102,1.11264e-39
31,3.36675e-102,-1.2707e-40
32,1.4948e-103,6.03247e-57
33,-4.49033e-105,-2.55647e-58
34,2.32984e-89,1.80771e-58
35,-7.23224e-91,-6.00132e-59
36,2.16959e-91,4.93154e-14
37,5.35598e-92,3.56959e-14
38,1.4002e-89,9.22655e-14
39,8.47679e-90,7.22113e-14
40,3.22335e-91,3.46942e-15
41,-3.98573e-92,2.78788e-15
42,2.3522e-89,0.0544735
43,-1.0128e-89,0.0178945
44,3.8411e-91,0.0215407
45,-9.49675e-92,0.00857428
46,3.79662e-89,1.75677e-54
47,-7.27747e-90,9.50877e-55
48,4.73696e-91,3.94996e-12
49,-1.85653e-92,2.74723e-13
50,3.95356e-89,2.42674e-12
51,2.46915e-90,3.14702e-13
52,5.0506e-91,3.43981e-13
53,2.89934e-92,3.428e-14
54,3.42354e-89,5.97601e-53
55,8.40794e-91,2.66928e-53
56,4.84725e-91,1.76675e-54
57,-2.37271e-92,2.06938e-55
58,4.18679e-89,5.07864e-54
59,4.62823e-90,2.37137e-54
60,4.63786e-91,1.4423e-65
61,9.89774e-92,2.6775e-66
62,2.14621e-89,3.11422e-67
63,5.58813e-91,9.03311e-68
64,2.96871e-91,6.5378e-64
65,-7.24178e-93,4.17405e-65
66,2.49408e-89,1.53827e-65
67,3.71767e-90,1.84559e-66
68,3.02552e-91,2.20194e-47
69,4.79948e-92,4.99608e-48
70,1.60829e-89,1.27772e-45
71,8.95162e-91,1.96709e-46
72,1.81436e-91,3.47653e-45
73,3.01013e-92,5.05268e-46
74,1.10663e-89,3.2686e-64
75,3.39195e-90,1.36041e-64
76,1.19613e-91,2.16265e-12
77,3.62018e-92,4.9388e-13
78,5.81641e-90,1.2212e-11
79,3.68717e-90,2.42077e-12
80,4.78731e-92,2.06324e-10
81,2.37814e-92,4.95321e-12
82,6.4296e-91,5.18523e-11
83,4.39359e-91,1.26209e-12
84,6.10645e-93,2.36095e-11
85,3.65569e-93,4.39984e-12
86,7.7126e-92,8.74933e-47
87,2.43729e-92,6.17483e-47
88,8.47977e-94,2.13943e-46
89,2.85717e-94,1.08878e-47
90,3.89569e-92,1.47595e-54
91,1.40474e-92,3.62813e-55
92,2.82753e-94,2.7454e-45
93,1.22199e-94,2.07321e-45
94,1.19504e-92,1.30373e-55
95,5.91734e-93,2.19672e-57
96,1.16374e-94,1.51076e-53
97,4.09931e-95,-1.34725e-54
98,5.7715e-93,6.28138e-55
99,2.59001e-93,1.40847e-56
100,3.99252e-95,1.90524e-53
101,1.80463e-95,7.95573e-55
102,1.98909e-93,5.76645e-52
103,1.24366e-93,-2.28939e-52
104,1.17796e-95,6.3991e-07
105,8.45717e-96,-2.46417e-07
106,1.61576e-94,1.44494e-56
107,7.39944e-95,-9.83562e-59
108,1.0418e-96,1.23329e-64
109,6.04863e-97,6.01223e-65
110,5.37877e-95,1.95356e-66
111,3.09944e-95,1.39483e-66
112,3.03067e-97,2.47182e-66
113,2.1994e-97,7.10154e-67
114,6.0791e-96,1.67044e-48
115,4.68165e-96,2.50661e-49
116,4.78885e-98,1.14309e-48
117,2.18735e-98,1.28021e-48
118,2.44128e-96,9.50907e-47
119,1.41671e-96,4.36618e-47
120,1.25986e-98,1.1805e-64
121,1.02909e-98,2.45666e-65
122,3.91098e-98,4.54046e-47
123,2.46469e-98,2.13324e-47
124,2.50282e-100,2.98771e-45
125,2.17309e-100,-1.99266e-46
126,9.63316e-99,1.13708e-43
127,4.39262e-99,-2.61604e-44
128,5.96901e-101,1.41556e-06
129,3.23268e-101,1.15893e-06
130,3.14023e-99,2.2878e-07
131,1.74658e-99,1.67933e-07
132,2.21197e-101,3.97401e-07
133,1.45071e-101,3.32103e-07
134,5.70351e-100,1.82291e-06
135,4.08444e-100,1.65592e-06
136,4.35275e-102,8.88946e-08
137,2.70582e-102,7.40126e-08
138,3.74825e-101,-2.33918
139,1.42117e-101,-1.47669
140,4.87476e-103,3.40433e-73
141,5.21788e-104,1.37051e-73
142,2.80242e-101,2.64288e-50
143,-1.249e-102,5.96091e-51
144,4.49196e-102,1.5343e-74
145,-8.05754e-102,-2.05435e-75
146,4.29621e-100,3.99806e-07
147,-3.01005e-100,5.66809e-08
148,1.01707e-96,2.48155e-07
149,3.27107e-97,4.74158e-08
150,4.28265e-97,2.12055e-06
151,1.6385e-97,2.71375e-07
152,4.81613e-104,0.000566641
153,-5.26777e-104,0.000281184
154,9.28187e-99,0.000113903
155,2.57814e-99,6.13762e-05
156,8.65618e-94,0.002089
157,9.75032e-95,0.00106761
158,1.62079e-93,0.0559224
159,4.62247e-94,0.0308646
160,3.11384e-95,0.0326767
161,5.17796e-96,0.0198598
162,3.59242e-104,0.00838064
163,2.06483e-104,0.00511115
164,1.92145e-103,3.03877e-75
165,9.74819e-104,-2.27573e-77
166,2.39821e-104,1.01098e-74
167,1.54243e-104,-4.47329e-75
168,4.59475e-105,1.21936e-73
169,2.10827e-105,1.61288e-74
170,6.10173e-103,1.60306
171,2.7768e-103,0.890483
172,1.18141e-102,0.741597
173,6.44188e-103,0.38785
174,2.88293e-102,0.532651
175,1.88646e-102,0.258843
176,2.44111e-93,1.00255e-69
177,4.39318e-94,4.11778e-70
178,4.41663e-95,1.43148e-69
179,7.00456e-96,6.69766e-70
180,4.3653e-102,5.15561e-08
181,1.82658e-102,8.95656e-09
182,1.44396e-100,4.1508e-68
183,7.32403e-101,1.07569e-68
184,4.09809e-93,9.2715e-80
185,7.54627e-94,4.48424e-80
186,7.42424e-95,3.40343e-79
187,1.25367e-95,1.68574e-79
188,3.01949e-101,5.64308e-81
189,1.43843e-101,2.00785e-81
190,4.93912e-100,6.87815e-51
191,2.14298e-100,1.171e-51
192,1.0571e-100,1.2092e-49
193,4.53678e-101,8.98683e-51
194,3.52445e-99,3.71019e-51
195,1.58171e-99,2.78459e-51
196,3.22547e-94,9.12066e-53
197,2.87469e-94,3.30879e-53
198,1.11639e-95,1.71328e-09
199,4.67889e-96,-1.56357e-10
200,1.19147e-99,8.53308e-09
201,6.05307e-100,-3.16301e-09
202,1.15711e-98,2.82795e-42
203,5.23026e-99,4.05882e-44
204,4.32763e-93,8.8567e-42
205,4.52114e-95,-3.75235e-43
206,8.28111e-95,5.44186e-74
207,3.06624e-96,1.96589e-74
208,3.91861e-99,6.69231e-39
209,1.52284e-99,3.63422e-39
210,1.37175e-97,1.55434e-73
211,6.5502e-98,4.18872e-74
212,6.70515e-93,3.58274e-72
213,1.05679e-93,1.05857e-72
214,1.27549e-94,8.78213e-05
215,1.71723e-95,7.87463e-05
216,2.38808e-98,0.000154318
217,4.71251e-99,0.000127966
218,6.7327e-93,0.000362787
219,1.90074e-94,0.000286147
220,1.33346e-94,0.000786443
221,2.91633e-96,0.00072643
222,2.5675e-98,9.25626e-08
223,1.43809e-99,6.41716e-08
224,2.0081e-96,1.23295e-08
225,-3.81219e-97,8.96475e-09
226,3.20752e-96,5.68554e-07
227,1.75994e-96,4.20222e-07
228,1.41304e-95,0.447717
229,6.05019e-96,0.0936471
230,6.66072e-95,0.0167803
231,4.32008e-95,0.00328469
232,7.86757e-93,9.32808e-71
233,1.3492e-94,1.22946e-71
234,1.53463e-94,4.55474e-72
235,6.94481e-96,6.62928e-73
236,7.19374e-93,1.73711e-70
237,-1.59865e-94,2.85632e-71
238,1.50318e-94,0.0760368
239,-4.03921e-96,0.123048
240,6.00735e-93,0.0306645
241,-7.04765e-94,0.053399
242,1.27966e-94,0.0999673
243,-9.37805e-96,0.197597
244,3.75692e-96,0.17354
245,2.14044e-96,0.286354
246,7.1744e-97,0.0541933
247,5.07498e-97,0.081257
248,5.53354e-93,3.65478e-06
249,-5.43982e-94,1.29573e-06
250,1.17399e-94,7.10588e-07
251,-5.94166e-96,2.78328e-07
252,1.36372e-92,3.26692e-06
253,2.90012e-94,1.38722e-06
254,5.40957e-93,1.95403e-54
255,-1.17901e-94,6.44219e-55
256,1.72425e-93,1.35815e-55
257,-3.28418e-94,4.48394e-56
258,5.58401e-95,8.60057e-53
259,-5.03508e-96,3.49796e-53
260,1.77219e-91,4.51572e-54
261,8.01307e-93,1.38689e-54
262,1.1459e-92,1.15709e-52
263,3.77471e-94,1.48439e-53
264,2.4651e-94,2.58762e-09
265,-1.78965e-96,3.06608e-09
266,2.18952e-94,3.42742e-10
267,1.42249e-95,4.93876e-10
268,9.39976e-93,2.30127e-10
269,1.03612e-93,3.68206e-10
270,1.73335e-94,0.0001872
271,2.23346e-95,3.05656e-06
272,4.34551e-93,0.000863963
273,-3.98694e-94,2.22921e-05
274,9.7694e-95,0.0028437
275,-8.64096e-96,0.000195917
276,6.85814e-93,8.77413e-05
277,1.98539e-93,2.84805e-06
278,1.38231e-94,1.78269e-41
279,2.12582e-95,3.27506e-42
280,3.08883e-94,2.6509e-40
281,1.82078e-95,6.39472e-41
282,3.80688e-96,5.85123e-40
283,3.58452e-97,-1.23899e-41
284,3.00033e-96,8.39396e-42
285,2.76593e-97,1.9728e-43
286,1.40223e-105,5.92416e-40
287,7.35682e-106,3.70038e-40
288,4.63317e-106,8.61034e-40
289,-4.86592e-107,4.95767e-40
290,1.69408e-99,6.69375e-48
291,-9.31082e-100,3.26626e-48
292,1.00477e-101,1.34551e-48
293,-5.07779e-102,-2.94274e-50
294,7.19942e-104,2.69866e-13
295,-2.07398e-104,7.05521e-14
296,1.42243e-105,1.92037e-40
297,-2.08577e-106,1.5275e-40
298,4.35666e-101,3.10555e-40
299,1.01927e-101,6.28484e-41
300,3.89352e-99,5.59255e-42
301,1.31003e-99,2.67052e-42
302,4.28864e-103,9.30279e-42
303,1.44731e-103,7.32147e-42
304,3.27106e-101,2.2532e-41
305,3.43591e-102,7.93309e-42
306,4.45173e-99,1.68392
307,7.42474e-100,0.0332792
308,4.62028e-97,2.00657
309,9.75486e-98,0.158255
310,2.11665e-92,0.893026
311,-8.16592e-93,0.100091
312,1.66303e-94,3.58503e-50
313,2.42975e-96,2.56748e-50
314,2.97912e-95,1.20165e-51
315,-2.56378e-96,9.36643e-52
316,1.14716e-92,6.66824e-51
317,-4.07329e-93,4.38684e-51
318,5.27799e-101,4.54219e-53
319,-1.89259e-101,4.05498e-53
320,4.5954e-99,2.41291e-52
321,-5.5533e-100,1.35102e-52
322,4.07689e-103,5.45242e-78
323,8.52586e-105,5.17192e-79
324,2.9608e-90,2.93271e-76
325,1.78373e-90,2.1967e-77
326,2.181e-88,7.98574e-75
327,1.25243e-88,1.69018e-75
328,8.49256e-91,1.12659e-15
329,-1.49061e-90,8.76666e-16
330,4.94162e-105,1.44785e-16
331,1.88691e-105,1.27567e-16
332,7.29864e-107,1.59293e-16
333,-2.33059e-107,2.28894e-16
334,1.5838e-104,2.32987e-38
335,2.44285e-105,-1.18354e-39
336,2.43773e-102,0.000477028
337,6.89099e-103,-9.12428e-06
338,3.41496e-105,0.000592725
339,5.96858e-106,-3.40861e-05
340,3.87377e-103,1.19397e-41
341,4.80019e-104,5.99721e-42
342,3.79453e-103,3.87133e-40
343,2.90509e-104,2.01714e-40
344,3.76513e-105,6.4364e-40
345,6.27144e-107,1.52018e-40
346,5.40197e-107,1.24643e-38
347,4.31987e-108,9.82032e-39
348,1.84337e-94,2.71521
349,-2.14848e-95,1.13235
350,2.11256e-96,2.56017
351,5.83926e-98,1.13377
352,8.51074e-100,0.265694
353,2.07665e-100,0.15087
354,2.23533e-99,0.347385
355,1.42631e-99,0.216596
356,5.29286e-89,0.842088
357,-4.06994e-90,0.503749
358,2.99673e-87,0.183702
359,-7.89738e-89,0.0847667
360,1.50943e-96,0.0800134
361,-1.89621e-97,0.0416597
362,5.96518e-97,0.0683188
363,-4.94083e-99,0.0305361
364,2.72383e-105,1.00602e-42
365,-5.99755e-106,2.29546e-43
366,3.68809e-107,2.92474e-44
367,-1.03007e-107,6.1321e-45
368,5.72833e-89,3.81319e-44
369,3.41705e-90,9.5921e-45
370,2.96259e-88,1.05814e-42
371,-2.33414e-88,3.25142e-43
372,6.59721e-107,9.40142e-46
373,1.87577e-107,5.43611e-46
374,2.3374e-106,5.45207e-44
375,1.9085e-106,2.25324e-44
376,4.27319e-97,1.1121e-45
377,-1.12048e-97,-1.2432e-46
378,4.29914e-98,1.42808e-11
379,-2.31288e-98,6.9784e-12
380,2.12689e-94,1.01485e-12
381,-1.15113e-94,3.80624e-13
382,2.67568e-96,1.03821e-12
383,-1.61055e-96,6.78412e-13
384,2.83524e-96,9.48547e-14
385,8.69785e-97,3.35881e-14
386,1.46923e-97,2.31633e-66
387,1.27747e-98,3.17096e-67
388,2.5636e-96,7.79582e-65
389,-1.53993e-97,7.5688e-66
390,2.24375e-99,3.95877e-64
391,-3.77952e-100,1.27302e-64
392,1.73235e-107,0.000109032
393,7.85629e-108,-1.05341e-05
394,2.31664e-99,7.80727e-46
395,5.21708e-100,2.15851e-46
396,5.78937e-107,4.16211e-65
397,2.87226e-107,2.15421e-65
398,4.57938e-99,0.61684
399,1.89915e-99,1.14175
400,3.24202e-106,0.874449
401,2.13023e-106,1.44956
402,1.00438e-97,0.426032
403,4.05696e-98,0.73307
404,1.28231e-104,0.447133
405,8.74289e-105,0.687363
406,5.07108e-97,6.24599e-63
407,2.01425e-97,-6.82944e-64
408,5.09921e-104,4.00611e-61
409,2.73817e-104,-1.46141e-62
410,1.49082e-96,1.54143e-61
411,5.35536e-97,1.29007e-62
412,3.42997e-103,5.61288e-63
413,2.082e-103,3.95835e-64
414,4.19345e-96,1.99475e-59
415,4.99537e-96,1.02344e-60
416,1.29285e-102,5.26144e-60
417,6.8585e-103,-6.92172e-61
418,2.79705e-94,3.27389e-58
419,3.7724e-94,-4.76424e-59
420,1.34921e-101,3.31722e-14
421,8.85017e-102,2.03244e-14
422,1.28382e-93,3.29687e-13
423,2.14119e-94,2.27542e-13
424,4.8211e-101,4.99768e-13
425,2.38718e-101,1.88828e-13
426,8.4479e-93,0.973185
427,3.71756e-93,1.78977
428,1.21911e-100,0.486345
429,4.87746e-101,1.37044
430,2.13447e-92,-1.04375
431,1.06519e-92,-0.947716
432,2.66648e-100,0.0855462
433,1.0533e-100,0.187431
434,2.86071e-91,0.221372
435,2.01288e-91,0.477674
436,5.16506e-100,1.69788e-77
437,7.98677e-101,7.98783e-78
438,7.34033e-91,2.36978e-37
439,4.50935e-91,2.63126e-37
440,1.2413e-97,5.9214e-37
441,5.03299e-99,1.79198e-37
442,1.95606e-90,5.9645e-36
443,1.73595e-91,2.90791e-36
444,4.78137e-96,3.48838e-36
445,4.03463e-97,1.65982e-36
446,4.97128e-90,6.42808e-15
447,1.43841e-90,1.97976e-15
448,1.86441e-97,7.85124e-15
449,1.54603e-98,3.49622e-15
450,8.61975e-90,6.38266e-16
451,2.86903e-90,2.20721e-16
452,2.95787e-96,8.14692e-16
453,-1.0952e-97,2.5532e-16
454,9.59782e-89,3.28594e-79
455,5.16698e-89,1.03722e-79
456,1.22338e-97,5.75749e-81
457,-5.60549e-99,1.36674e-81
458,8.56584e-88,1.12617e-39
459,4.52044e-88,2.74979e-40
460,5.45074e-96,3.20232e-41
461,1.68664e-97,6.63728e-42
462,1.4051e-87,4.3478e-41
463,1.36993e-88,1.40611e-41
464,2.26444e-97,6.85349e-06
465,1.20861e-98,1.26996e-06
466,1.57775e-87,4.69368e-06
467,-1.29005e-88,6.11491e-07
468,3.30661e-96,6.73202e-07
