dof_index, displacement_x, displacement_y
0,1.66256e-13,0.00823303
1,-1.39375e-14,0.00214324
2,1.47274e-13,1.57407
3,-1.62593e-14,1.07388
4,6.87142e-13,-0.510339
5,-9.4905e-14,0.284257
6,8.52724e-13,1.48849
7,-7.17866e-14,0.227129
8,8.21999e-16,1.31269
9,9.18759e-17,-0.245399
10,4.9182e-15,1.01666
11,8.14782e-16,-1.59242
12,3.66251e-15,1.81609
13,1.68966e-16,-2.11562
14,1.61829e-13,0.326903
15,-1.24073e-14,-1.83846
16,9.73464e-13,1.21906
17,-3.90229e-14,0.331191
18,1.66356e-13,0.488765
19,2.86496e-16,0.20652
20,9.599e-13,0.252498
21,5.1855e-14,-0.141425
22,1.13579e-13,0.413831
23,-1.66578e-14,0.160902
24,3.23616e-14,0.593294
25,-3.99365e-15,0.226581
26,1.62867e-13,0.421171
27,8.96105e-15,0.154254
28,9.64958e-17,0.52583
29,-1.01304e-17,-0.236367
30,5.09309e-16,0.644894
31,-7.58656e-17,-0.133563
32,1.00618e-16,0.0323948
33,-2.88787e-17,-0.0015709
34,8.51448e-13,0.0166045
35,2.40305e-14,-0.000848526
36,1.41904e-13,-0.891414
37,7.73306e-15,-0.074846
38,7.77766e-13,-1.07331
39,6.06812e-14,0.162783
40,1.40075e-13,1.36776
41,3.07478e-15,1.63427
42,7.60365e-13,1.81821
43,-1.39004e-14,-0.717123
44,1.32564e-13,-1.54519
45,7.71427e-16,0.545205
46,7.5319e-13,0.126276
47,4.74792e-15,0.0511435
48,1.25291e-13,-2.62233
49,5.75713e-15,0.784635
50,6.91316e-13,-2.16929
51,5.93889e-14,1.28049
52,1.1641e-13,-1.20998
53,8.85235e-15,0.00601861
54,6.08892e-13,0.222965
55,5.48076e-14,0.0889593
56,1.03707e-13,0.125147
57,7.89023e-15,0.0478304
58,5.51862e-13,0.167764
59,5.2646e-14,0.0628495
60,8.93111e-14,0.000256744
61,1.09334e-14,0.000102574
62,4.40162e-13,8.56981e-05
63,5.41807e-14,3.57299e-05
64,7.1219e-14,0.000769276
65,1.00755e-14,0.000292497
66,3.56712e-13,0.000334207
67,6.69136e-14,0.000122377
68,5.74579e-14,0.750148
69,1.03902e-14,0.00776627
70,2.5761e-13,0.593114
71,4.31439e-14,-0.0292382
72,4.10192e-14,0.585737
73,7.65178e-15,-0.0758805
74,1.92209e-13,0.000806791
75,3.992e-14,0.000299031
76,2.9645e-14,0.312192
77,6.46443e-15,-0.0911446
78,1.34349e-13,-0.250261
79,3.92292e-14,-1.01173
80,1.7164e-14,1.04171
81,4.69506e-15,0.60051
82,8.28948e-14,-0.338893
83,2.58325e-14,1.47659
84,1.22682e-14,0.445388
85,3.45259e-15,0.102261
86,5.39709e-14,0.72982
87,1.31655e-14,0.404637
88,8.30992e-15,0.730433
89,2.0718e-15,0.389779
90,3.7184e-14,0.108554
91,9.86532e-15,0.0548921
92,4.28651e-15,0.587822
93,1.31213e-15,0.302764
94,2.14349e-14,0.0773017
95,6.41034e-15,-0.0054966
96,2.8191e-15,0.142043
97,8.35163e-16,-0.0164836
98,1.37505e-14,0.0994402
99,4.31971e-15,-0.00690467
100,1.53235e-15,0.172649
101,4.59971e-16,-0.012442
102,8.72903e-15,0.257486
103,3.02228e-15,-0.0269848
104,9.28531e-16,1.1422
105,3.23743e-16,-0.860194
106,5.05703e-15,0.0448963
107,1.53558e-15,-0.00363669
108,5.26127e-16,0.000500384
109,1.88344e-16,0.000187228
110,3.11712e-15,0.00015273
111,1.14003e-15,6.20673e-05
112,2.90188e-16,0.000169501
113,1.33998e-16,5.80231e-05
114,1.43861e-15,0.640538
115,5.68817e-16,0.307413
116,1.45447e-16,0.636688
117,6.17546e-17,0.317929
118,8.39797e-16,0.768048
119,3.82992e-16,0.374932
120,7.78611e-17,0.000499649
121,3.81428e-17,0.000169304
122,3.57816e-16,0.757988
123,1.40543e-16,0.359637
124,3.52877e-17,0.588774
125,1.50559e-17,-0.17162
126,1.9631e-16,0.366075
127,6.62236e-17,-0.15463
128,1.93019e-17,3.63473
129,7.33459e-18,-2.64539
130,1.16172e-16,1.13196
131,4.00459e-17,-0.401525
132,1.41588e-17,1.69665
133,3.75682e-18,-2.21444
134,6.98767e-17,2.71595
135,1.0956e-17,-1.81838
136,1.62402e-17,-0.0373389
137,-6.51259e-18,-1.68306
138,9.78016e-17,0.869184
139,-5.48342e-17,1.17761
140,5.39195e-17,1.09118e-06
141,-4.86608e-17,3.60807e-07
142,3.38123e-16,0.405172
143,-2.81556e-16,0.194596
144,2.65596e-16,3.52403e-07
145,-3.30929e-16,9.86765e-08
146,1.64483e-15,0.950024
147,-1.18296e-15,-1.16324
148,3.58664e-16,-1.32767
149,1.04684e-16,0.557876
150,2.23064e-16,1.99291
151,6.29083e-17,-0.942736
152,3.66335e-17,-2.83363
153,-3.29013e-17,2.70702
154,4.69634e-17,-1.16824
155,1.08691e-17,2.69283
156,3.48894e-15,-0.0974383
157,5.92775e-16,-0.187796
158,5.01691e-15,-0.00304182
159,1.18831e-15,-2.87178
160,1.08164e-15,1.8467
161,1.87176e-16,-4.30774
162,7.02317e-18,2.89315
163,-5.05157e-18,-1.28488
164,2.6376e-18,1.30439e-07
165,-4.26132e-19,1.56203e-08
166,5.77267e-19,1.22331e-07
167,1.89258e-19,1.59279e-08
168,3.85608e-19,3.93647e-07
169,2.03214e-20,6.79851e-08
170,2.79511e-18,0.178069
171,8.0667e-19,-2.31992
172,1.3324e-18,1.7368
173,4.97233e-19,-0.920798
174,4.92809e-18,1.65665
175,1.80192e-18,-1.68383
176,7.02153e-15,1.58389e-05
177,1.39457e-15,6.02734e-06
178,1.44087e-15,1.85223e-05
179,2.75695e-16,6.98229e-06
180,2.56136e-18,-3.0241
181,8.81976e-19,0.820177
182,1.09926e-17,5.01573e-05
183,4.32781e-18,1.73962e-05
184,9.92795e-15,2.66725e-09
185,1.84177e-15,7.89497e-10
186,2.0588e-15,4.60438e-09
187,3.69533e-16,1.17509e-09
188,5.22369e-18,1.03785e-09
189,1.82148e-18,2.41799e-10
190,2.04017e-17,0.363099
191,7.68452e-18,0.149745
192,9.54607e-18,0.495625
193,2.99888e-18,0.239859
194,4.19176e-17,0.319747
195,1.53574e-17,0.0919646
196,2.58735e-15,0.190462
197,7.34938e-16,0.00808028
198,6.80667e-16,0.234881
199,1.61528e-16,0.69244
200,1.73836e-17,-0.884531
201,5.32025e-18,1.9776
202,7.42288e-17,0.668775
203,2.53777e-17,-0.301459
204,1.25202e-14,0.478185
205,1.8059e-15,-0.117631
206,2.65438e-15,2.45879e-07
207,3.76568e-16,5.38909e-08
208,2.94447e-17,-0.854376
209,8.01364e-18,-0.700249
210,1.35283e-16,5.24607e-07
211,4.20381e-17,1.07398e-07
