dof_index, displacement_x, displacement_y
0,1.18812e-30,8.21734e-14
1,-1.01531e-31,3.68823e-14
2,9.70214e-31,0.0146947
3,-1.31679e-31,0.00749463
4,9.07487e-30,-0.522357
5,-1.76761e-30,0.227887
6,1.20245e-29,-0.39204
7,-1.31131e-30,0.333221
8,3.23819e-35,0.00046618
9,3.62579e-36,-3.57584e-05
10,3.92337e-34,1.47083
11,6.16721e-35,1.68058
12,2.96692e-34,1.8871
13,3.58942e-35,1.98088
14,1.04715e-30,-0.193943
15,-6.44834e-32,-0.911423
16,1.32436e-29,-0.991452
17,-6.59074e-32,-1.14681
18,1.08847e-30,4.93695e-09
19,6.89267e-33,2.70164e-09
20,1.33613e-29,2.24313e-05
21,1.13754e-30,-1.90663e-06
22,6.41812e-31,1.57377e-09
23,-1.2713e-31,6.1655e-10
24,1.09771e-31,7.16757e-09
25,-1.57021e-32,2.87316e-09
26,1.04527e-30,1.63602e-09
27,9.68341e-32,6.05084e-10
28,3.73166e-36,3.14526e-05
29,-5.33709e-38,-5.36336e-06
30,3.94947e-35,0.000101895
31,2.14079e-36,-1.62256e-05
32,3.9615e-36,2.67381e-12
33,-7.32343e-37,-1.34787e-13
34,1.05472e-29,5.63913e-13
35,1.65118e-31,-5.42392e-14
36,7.82865e-31,0.303572
37,6.9517e-32,0.700684
38,8.85263e-30,-0.108543
39,1.47632e-30,0.329868
40,8.52451e-31,2.09477
41,-1.97875e-32,2.29338
42,9.70924e-30,-0.287583
43,-1.37601e-30,0.360026
44,8.50402e-31,-0.513182
45,-6.54088e-32,-0.692536
46,1.10614e-29,4.75034e-11
47,-7.61233e-31,1.93055e-11
48,8.74443e-31,1.60141
49,9.33368e-33,-0.382127
50,1.05742e-29,0.479099
51,8.16018e-31,-0.573982
52,8.56296e-31,-1.44095
53,5.27816e-32,-0.787928
54,9.30454e-30,2.33594e-10
55,6.04103e-31,9.39172e-11
56,7.77849e-31,4.65039e-11
57,2.83361e-32,1.40768e-11
58,9.11354e-30,9.04181e-11
59,8.19908e-31,3.54731e-11
60,6.8107e-31,1.34106e-16
61,9.83167e-32,4.85424e-17
62,6.39327e-30,1.89672e-17
63,7.04074e-31,7.42697e-18
64,4.94451e-31,9.83018e-16
65,6.16099e-32,2.96698e-16
66,5.29214e-30,1.89498e-16
67,1.16212e-30,6.1534e-17
68,4.03118e-31,9.60845e-08
69,8.05612e-32,8.59202e-09
70,3.35284e-30,5.81613e-07
71,5.1553e-31,1.89146e-08
72,2.49938e-31,5.97496e-07
73,4.80937e-32,3.2512e-08
74,2.32894e-30,9.72108e-16
75,5.68433e-31,3.48772e-16
76,1.6529e-31,-1.84735
77,4.26171e-32,-0.615212
78,1.40515e-30,-0.0671673
79,5.84562e-31,-0.0711968
80,7.93581e-32,0.928019
81,2.8755e-32,0.33862
82,5.88939e-31,1.37779
83,2.62662e-31,0.164269
84,3.96644e-32,2.95974
85,1.51767e-32,-0.130133
86,2.71321e-31,1.29758e-07
87,7.58307e-32,7.20749e-08
88,1.95603e-32,1.47868e-07
89,5.66586e-33,7.63258e-08
90,1.62845e-31,4.02785e-11
91,4.99082e-32,1.80929e-11
92,8.20749e-33,5.31851e-07
93,3.00785e-33,3.1781e-07
94,7.24826e-32,1.88588e-11
95,2.71815e-32,-2.88587e-12
96,4.45037e-33,1.20541e-10
97,1.47896e-33,-7.49689e-12
