dof_index, displacement_x, displacement_y, div_u, curl_u
0,0,8.83748e-84,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,4.51211e-38,0,0
6,0,4.44217e-37,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,1.44372e-26,0,0
36,0,1.868e-27,0,0
37,0,3.37943e-27,0,0
38,0,2.22348e-28,0,0
39,0,2.32958e-25,0,0
40,0,-3.11049e-26,0,0
41,0,5.0871e-26,0,0
42,0,9.32643e-27,0,0
43,0,5.49099e-25,0,0
44,0,3.64641e-26,0,0
45,0,0,0,0
46,0,0,0,0
47,0,5.77055e-121,0,0
48,0,2.88148e-120,0,0
49,0,2.64754e-62,0,0
50,0,3.91721e-62,0,0
51,0,3.41506e-62,0,0
52,0,1.39933e-62,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,2.52269e-107,0,0
64,0,4.39451e-107,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,2.16656e-104,0,0
78,0,7.34652e-104,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,1.37065e-98,0,0
88,0,2.85341e-98,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0.194865,0,0
96,0,0.200393,0,0
97,0,0.171856,0,0
98,0,0.166401,0,0
99,0,0.319589,0,0
100,0,0.310401,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,2.29418e-07,0,0
106,0,4.17117e-08,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,-1.92851e-76,0,0
136,0,1.64749e-75,0,0
137,0,4.54416e-78,0,0
138,0,8.17878e-77,0,0
139,0,2.70817e-65,0,0
140,0,1.43758e-64,0,0
141,0,4.35867e-67,0,0
142,0,1.62417e-66,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,3.45496e-10,0,0
166,0,1.62308e-11,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,4.80042e-58,0,0
186,0,1.27941e-59,0,0
187,0,3.36187e-57,0,0
188,0,9.58626e-58,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,4.88339e-64,0,0
198,0,-3.24473e-64,0,0
199,0,1.0134e-75,0,0
200,0,1.07433e-75,0,0
201,0,1.58487e-77,0,0
202,0,1.69891e-77,0,0
203,0,2.32173e-76,0,0
204,0,8.85513e-77,0,0
205,0,7.27111e-78,0,0
206,0,1.44519e-78,0,0
207,0,1.15161e-73,0,0
208,0,4.78833e-74,0,0
209,0,1.8743e-75,0,0
210,0,4.07193e-77,0,0
211,0,1.66278e-74,0,0
212,0,9.10742e-75,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,0,0,0,0
254,0,0,0,0
255,0,0,0,0
256,0,0,0,0
257,0,0,0,0
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,0,0,0,0
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,-0.574213,0,0
268,0,0.0755265,0,0
269,0,0,0,0
270,0,0,0,0
271,0,0,0,0
272,0,0,0,0
273,0,0,0,0
274,0,0,0,0
275,0,0,0,0
276,0,0,0,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0,0
283,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
287,0,-0.1847,0,0
288,0,0.153452,0,0
289,0,0.256276,0,0
290,0,-0.45932,0,0
291,0,-1.09003,0,0
292,0,0.0246178,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0,0
296,0,0,0,0
297,0,0,0,0
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,4.18029e-80,0,0
304,0,3.85561e-80,0,0
305,0,6.65952e-82,0,0
306,0,6.9667e-82,0,0
307,0,2.81079e-80,0,0
308,0,2.87471e-80,0,0
309,0,0,0,0
310,0,0,0,0
311,0,3.16834e-82,0,0
312,0,2.9016e-82,0,0
313,0,1.25912e-78,0,0
314,0,1.16673e-78,0,0
315,0,2.24354e-78,0,0
316,0,2.05845e-78,0,0
317,0,1.97404e-120,0,0
318,0,2.90249e-120,0,0
319,0,2.20156e-118,0,0
320,0,3.28854e-118,0,0
321,0,4.48242e-121,0,0
322,0,8.32788e-121,0,0
323,0,4.16201e-123,0,0
324,0,5.77093e-123,0,0
325,0,1.6102e-78,0,0
326,0,1.86646e-78,0,0
327,0,4.7848e-113,0,0
328,0,1.05688e-112,0,0
329,0,1.8917e-111,0,0
330,0,7.61174e-111,0,0
331,0,2.67918e-68,0,0
332,0,6.0553e-69,0,0
333,0,6.73016e-67,0,0
334,0,1.38656e-67,0,0
335,0,8.33336e-24,0,0
336,0,-1.28145e-24,0,0
337,0,0,0,0
338,0,0,0,0
339,0,0,0,0
340,0,0,0,0
341,0,3.9777e-24,0,0
342,0,6.23361e-26,0,0
343,0,0,0,0
344,0,0,0,0
345,0,0,0,0
346,0,0,0,0
347,0,5.50928e-66,0,0
348,0,1.40472e-65,0,0
349,0,0,0,0
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,6.70118e-12,0,0
358,0,8.12883e-12,0,0
359,0,1.01586e-11,0,0
360,0,1.22692e-11,0,0
361,0,0,0,0
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,1.84967e-12,0,0
366,0,2.13866e-12,0,0
367,0,2.74772e-12,0,0
368,0,3.36996e-12,0,0
369,0,0,0,0
370,0,0,0,0
371,0,0,0,0
372,0,0,0,0
373,0,0,0,0
374,0,0,0,0
375,0,0,0,0
376,0,0,0,0
377,0,0,0,0
378,0,0,0,0
379,0,0,0,0
380,0,0,0,0
381,0,0,0,0
382,0,0,0,0
383,0,0,0,0
384,0,0,0,0
385,0,0,0,0
386,0,0,0,0
387,0,0,0,0
388,0,0,0,0
389,0,0,0,0
390,0,0,0,0
391,0,0,0,0
392,0,0,0,0
393,0,0,0,0
394,0,0,0,0
395,0,2.27352e-44,0,0
396,0,-1.08432e-45,0,0
397,0,5.55709e-43,0,0
398,0,2.52937e-44,0,0
399,0,1.30347e-44,0,0
400,0,-2.86154e-45,0,0
401,0,0,0,0
402,0,0,0,0
403,0,0,0,0
404,0,0,0,0
405,0,0,0,0
406,0,0,0,0
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,0,0,0
412,0,0,0,0
413,0,1.32364e-48,0,0
414,0,2.46193e-49,0,0
415,0,1.92853e-47,0,0
416,0,2.80426e-48,0,0
417,0,0,0,0
418,0,0,0,0
419,0,5.18844e-48,0,0
420,0,8.82674e-49,0,0
421,0,1.95887e-16,0,0
422,0,1.70636e-16,0,0
423,0,1.89334e-15,0,0
424,0,1.06857e-15,0,0
425,0,2.70602e-16,0,0
426,0,2.36286e-16,0,0
427,0,2.63994e-15,0,0
428,0,2.11107e-15,0,0
429,0,-0.744807,0,0
430,0,-1.20574,0,0
431,0,0,0,0
432,0,0,0,0
433,0,5.43065e-24,0,0
434,0,2.48319e-24,0,0
435,0,1.10965e-22,0,0
436,0,3.59726e-23,0,0
437,0,0,0,0
438,0,0,0,0
439,0,0,0,0
440,0,0,0,0
441,0,0,0,0
442,0,0,0,0
443,0,0,0,0
444,0,0,0,0
445,0,-0.900614,0,0
